year,metric,value,unit,source_url,access_date
2012,Total national residential dwelling stock (HDB + private),1216217,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2013,Total national residential dwelling stock (HDB + private),1231914,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2014,Total national residential dwelling stock (HDB + private),1271109,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2015,Total national residential dwelling stock (HDB + private),1322898,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2016,Total national residential dwelling stock (HDB + private),1370319,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2017,Total national residential dwelling stock (HDB + private),1421302,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2018,Total national residential dwelling stock (HDB + private),1460968,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2019,Total national residential dwelling stock (HDB + private),1477627,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2020,Total national residential dwelling stock (HDB + private),1490946,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2021,Total national residential dwelling stock (HDB + private),1507505,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2022,Total national residential dwelling stock (HDB + private),1526540,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2023,Total national residential dwelling stock (HDB + private),1563641,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2024,Total national residential dwelling stock (HDB + private),1596629,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2025,Total national residential dwelling stock (HDB + private),1623242,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2012,HDB dwelling stock (subset of total),927643,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2013,HDB dwelling stock (subset of total),933389,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2014,HDB dwelling stock (subset of total),953975,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2015,HDB dwelling stock (subset of total),980613,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2016,HDB dwelling stock (subset of total),1004623,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2017,HDB dwelling stock (subset of total),1032461,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2018,HDB dwelling stock (subset of total),1056716,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2019,HDB dwelling stock (subset of total),1066196,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2020,HDB dwelling stock (subset of total),1076879,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2021,HDB dwelling stock (subset of total),1087800,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2022,HDB dwelling stock (subset of total),1102012,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2023,HDB dwelling stock (subset of total),1125605,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2024,HDB dwelling stock (subset of total),1142728,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2025,HDB dwelling stock (subset of total),1160535,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2012,"Private residential dwelling stock (Condo/Apartments + Landed + Others; derived as national total minus HDB, cross-checked by summing the three SingStat sub-rows)",288574,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2013,"Private residential dwelling stock (Condo/Apartments + Landed + Others; derived as national total minus HDB, cross-checked by summing the three SingStat sub-rows)",298525,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
