year,premises_type,fire_count,source_url,access_date,notes
2012,Residential,3184,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2013,Residential,2952,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2014,Residential,2888,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2015,Residential,2898,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2016,Residential,2818,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2017,Residential,2657,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2018,Residential,2411,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2019,Residential,1168,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. Post-break segment (2019 onward): minor rubbish bin/chute fires EXCLUDED from these counts per dataset methodology note."
2020,Residential,1054,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. Post-break segment (2019 onward): minor rubbish bin/chute fires EXCLUDED from these counts per dataset methodology note."
2021,Residential,1010,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. Post-break segment (2019 onward): minor rubbish bin/chute fires EXCLUDED from these counts per dataset methodology note."
2022,Residential,935,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. Post-break segment (2019 onward): minor rubbish bin/chute fires EXCLUDED from these counts per dataset methodology note."
2023,Residential,970,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. Post-break segment (2019 onward): minor rubbish bin/chute fires EXCLUDED from these counts per dataset methodology note."
2024,Residential,968,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. Post-break segment (2019 onward): minor rubbish bin/chute fires EXCLUDED from these counts per dataset methodology note."
2025,Residential,1051,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. Post-break segment (2019 onward): minor rubbish bin/chute fires EXCLUDED from these counts per dataset methodology note."
2012,Non-Residential,582,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2013,Non-Residential,533,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2014,Non-Residential,565,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2015,Non-Residential,505,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2016,Non-Residential,506,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2017,Non-Residential,467,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2018,Non-Residential,515,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2019,Non-Residential,496,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. Post-break segment (2019 onward): minor rubbish bin/chute fires EXCLUDED from these counts per dataset methodology note."
2020,Non-Residential,386,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. Post-break segment (2019 onward): minor rubbish bin/chute fires EXCLUDED from these counts per dataset methodology note."
2021,Non-Residential,415,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. Post-break segment (2019 onward): minor rubbish bin/chute fires EXCLUDED from these counts per dataset methodology note."
2022,Non-Residential,434,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. Post-break segment (2019 onward): minor rubbish bin/chute fires EXCLUDED from these counts per dataset methodology note."
2023,Non-Residential,404,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. Post-break segment (2019 onward): minor rubbish bin/chute fires EXCLUDED from these counts per dataset methodology note."
2024,Non-Residential,415,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. Post-break segment (2019 onward): minor rubbish bin/chute fires EXCLUDED from these counts per dataset methodology note."
2025,Non-Residential,471,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. Post-break segment (2019 onward): minor rubbish bin/chute fires EXCLUDED from these counts per dataset methodology note."
2012,Non-Building Structures,719,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
