jurisdiction,window,T_years,pop_millions,bin_lo,bin_hi,events,scope,provenance_grade,source
Singapore,2012-2025 (T=14),14,5.6514,1,1,35,building envelope (res+non-res),per-incident (register),"Event-resolved register, this repository (data/fatal_incident_register.csv), building-envelope scope"
Singapore,2012-2025 (T=14),14,5.6514,2,2,8,building envelope (res+non-res),per-incident (register),"Event-resolved register, this repository (data/fatal_incident_register.csv), building-envelope scope"
Singapore,2012-2025 (T=14),14,5.6514,3,3,3,building envelope (res+non-res),per-incident (register),"Event-resolved register, this repository (data/fatal_incident_register.csv), building-envelope scope"
Singapore,2012-2025 (T=14),14,5.6514,4,4,1,building envelope (res+non-res),per-incident (register),"Event-resolved register, this repository (data/fatal_incident_register.csv), building-envelope scope"
England,2010/11-2018/19 (T=9),9,54.4,1,1,2213,all building fires,per-incident (census-grade),"Home Office/MHCLG (2019) In-depth review of fire-related fatalities 2010/11-2018/19, Table 2; Shoreham Airshow (N=11, outdoor aircraft crash) excluded"
England,2010/11-2018/19 (T=9),9,54.4,2,2,108,all building fires,per-incident (census-grade),"Home Office/MHCLG (2019) In-depth review of fire-related fatalities 2010/11-2018/19, Table 2; Shoreham Airshow (N=11, outdoor aircraft crash) excluded"
England,2010/11-2018/19 (T=9),9,54.4,3,3,17,all building fires,per-incident (census-grade),"Home Office/MHCLG (2019) In-depth review of fire-related fatalities 2010/11-2018/19, Table 2; Shoreham Airshow (N=11, outdoor aircraft crash) excluded"
England,2010/11-2018/19 (T=9),9,54.4,4,4,8,all building fires,per-incident (census-grade),"Home Office/MHCLG (2019) In-depth review of fire-related fatalities 2010/11-2018/19, Table 2; Shoreham Airshow (N=11, outdoor aircraft crash) excluded"
England,2010/11-2018/19 (T=9),9,54.4,5,5,5,all building fires,per-incident (census-grade),"Home Office/MHCLG (2019) In-depth review of fire-related fatalities 2010/11-2018/19, Table 2; Shoreham Airshow (N=11, outdoor aircraft crash) excluded"
England,2010/11-2018/19 (T=9),9,54.4,6,6,3,all building fires,per-incident (census-grade),"Home Office/MHCLG (2019) In-depth review of fire-related fatalities 2010/11-2018/19, Table 2; Shoreham Airshow (N=11, outdoor aircraft crash) excluded"
England,2010/11-2018/19 (T=9),9,54.4,71,71,1,all building fires,per-incident (census-grade),"Home Office/MHCLG (2019) In-depth review of fire-related fatalities 2010/11-2018/19, Table 2; Shoreham Airshow (N=11, outdoor aircraft crash) excluded"
USA,"2018-2023 (T=6, annualised source)",6,332,1,1,9918,residential only,derived from percentages,"USFA Topical Fire Report Series v22i2 (2018-2020) and v23i1 (2021-2023); counts back-derived from published percentage distributions (~1,900 fatal residential fires/yr)"
USA,"2018-2023 (T=6, annualised source)",6,332,2,2,1138,residential only,derived from percentages,"USFA Topical Fire Report Series v22i2 (2018-2020) and v23i1 (2021-2023); counts back-derived from published percentage distributions (~1,900 fatal residential fires/yr)"
USA,"2018-2023 (T=6, annualised source)",6,332,3,3,212,residential only,derived from percentages,"USFA Topical Fire Report Series v22i2 (2018-2020) and v23i1 (2021-2023); counts back-derived from published percentage distributions (~1,900 fatal residential fires/yr)"
USA,"2018-2023 (T=6, annualised source)",6,332,4,4,70,residential only,derived from percentages,"USFA Topical Fire Report Series v22i2 (2018-2020) and v23i1 (2021-2023); counts back-derived from published percentage distributions (~1,900 fatal residential fires/yr)"
USA,"2018-2023 (T=6, annualised source)",6,332,5,10,62,residential only,derived from percentages,"USFA Topical Fire Report Series v22i2 (2018-2020) and v23i1 (2021-2023); counts back-derived from published percentage distributions (~1,900 fatal residential fires/yr)"
Sweden,1999-2013 (T=15),15,9.5,1,1,1100,residential only,reconstructed from aggregates,"Jonsson et al. (2017) J Safety Res 63:183-191 aggregate constraints (1,183 incidents, 1,292 deaths) with proportional split per Sardqvist & Holmstedt (Brandforsk); reconstructed"
Sweden,1999-2013 (T=15),15,9.5,2,2,65,residential only,reconstructed from aggregates,"Jonsson et al. (2017) J Safety Res 63:183-191 aggregate constraints (1,183 incidents, 1,292 deaths) with proportional split per Sardqvist & Holmstedt (Brandforsk); reconstructed"
Sweden,1999-2013 (T=15),15,9.5,3,3,12,residential only,reconstructed from aggregates,"Jonsson et al. (2017) J Safety Res 63:183-191 aggregate constraints (1,183 incidents, 1,292 deaths) with proportional split per Sardqvist & Holmstedt (Brandforsk); reconstructed"
Sweden,1999-2013 (T=15),15,9.5,4,4,4,residential only,reconstructed from aggregates,"Jonsson et al. (2017) J Safety Res 63:183-191 aggregate constraints (1,183 incidents, 1,292 deaths) with proportional split per Sardqvist & Holmstedt (Brandforsk); reconstructed"
Sweden,1999-2013 (T=15),15,9.5,5,5,2,residential only,reconstructed from aggregates,"Jonsson et al. (2017) J Safety Res 63:183-191 aggregate constraints (1,183 incidents, 1,292 deaths) with proportional split per Sardqvist & Holmstedt (Brandforsk); reconstructed"
Australia,FY2003/04-2016/17 (T=14),14,22.186,1,1,753,preventable residential,"published counts, open top bin","Coates et al. (2019) BNHCRC Report 506.2019, Table 8; final 2-3 years under-reported 7-23% per source"
Australia,FY2003/04-2016/17 (T=14),14,22.186,2,2,41,preventable residential,"published counts, open top bin","Coates et al. (2019) BNHCRC Report 506.2019, Table 8; final 2-3 years under-reported 7-23% per source"
Australia,FY2003/04-2016/17 (T=14),14,22.186,3,3,7,preventable residential,"published counts, open top bin","Coates et al. (2019) BNHCRC Report 506.2019, Table 8; final 2-3 years under-reported 7-23% per source"
Australia,FY2003/04-2016/17 (T=14),14,22.186,4,4,7,preventable residential,"published counts, open top bin","Coates et al. (2019) BNHCRC Report 506.2019, Table 8; final 2-3 years under-reported 7-23% per source"
Australia,FY2003/04-2016/17 (T=14),14,22.186,5,8,2,preventable residential,"published counts, open top bin","Coates et al. (2019) BNHCRC Report 506.2019, Table 8; final 2-3 years under-reported 7-23% per source"
NewZealand,2007-2014 (T=8),8,4.367,1,1,98,unintentional domestic,per-incident (coronial),Lilley & McNoe (2018) FENZ Research Report 167
NewZealand,2007-2014 (T=8),8,4.367,2,2,6,unintentional domestic,per-incident (coronial),Lilley & McNoe (2018) FENZ Research Report 167
NewZealand,2007-2014 (T=8),8,4.367,3,3,2,unintentional domestic,per-incident (coronial),Lilley & McNoe (2018) FENZ Research Report 167
NewZealand,2007-2014 (T=8),8,4.367,4,4,1,unintentional domestic,per-incident (coronial),Lilley & McNoe (2018) FENZ Research Report 167
China,1998-2002 (T=5),5,1266,1,1,6963,ALL fires (not only buildings),"table-derived, binned","Wang, Lu & Li (2005) Fire Safety Science 8:353-362, Table 4; counts derived from cumulative per-year table; bins 4-5 and 6-9 merged in source"
China,1998-2002 (T=5),5,1266,2,2,1216,ALL fires (not only buildings),"table-derived, binned","Wang, Lu & Li (2005) Fire Safety Science 8:353-362, Table 4; counts derived from cumulative per-year table; bins 4-5 and 6-9 merged in source"
China,1998-2002 (T=5),5,1266,3,3,378,ALL fires (not only buildings),"table-derived, binned","Wang, Lu & Li (2005) Fire Safety Science 8:353-362, Table 4; counts derived from cumulative per-year table; bins 4-5 and 6-9 merged in source"
China,1998-2002 (T=5),5,1266,4,5,214,ALL fires (not only buildings),"table-derived, binned","Wang, Lu & Li (2005) Fire Safety Science 8:353-362, Table 4; counts derived from cumulative per-year table; bins 4-5 and 6-9 merged in source"
China,1998-2002 (T=5),5,1266,6,9,148,ALL fires (not only buildings),"table-derived, binned","Wang, Lu & Li (2005) Fire Safety Science 8:353-362, Table 4; counts derived from cumulative per-year table; bins 4-5 and 6-9 merged in source"
China,1998-2002 (T=5),5,1266,10,10,7,ALL fires (not only buildings),"table-derived, binned","Wang, Lu & Li (2005) Fire Safety Science 8:353-362, Table 4; counts derived from cumulative per-year table; bins 4-5 and 6-9 merged in source"
China,1998-2002 (T=5),5,1266,11,11,2,ALL fires (not only buildings),"table-derived, binned","Wang, Lu & Li (2005) Fire Safety Science 8:353-362, Table 4; counts derived from cumulative per-year table; bins 4-5 and 6-9 merged in source"
China,1998-2002 (T=5),5,1266,12,12,2,ALL fires (not only buildings),"table-derived, binned","Wang, Lu & Li (2005) Fire Safety Science 8:353-362, Table 4; counts derived from cumulative per-year table; bins 4-5 and 6-9 merged in source"
China,1998-2002 (T=5),5,1266,13,13,5,ALL fires (not only buildings),"table-derived, binned","Wang, Lu & Li (2005) Fire Safety Science 8:353-362, Table 4; counts derived from cumulative per-year table; bins 4-5 and 6-9 merged in source"
China,1998-2002 (T=5),5,1266,14,14,3,ALL fires (not only buildings),"table-derived, binned","Wang, Lu & Li (2005) Fire Safety Science 8:353-362, Table 4; counts derived from cumulative per-year table; bins 4-5 and 6-9 merged in source"
China,1998-2002 (T=5),5,1266,15,15,2,ALL fires (not only buildings),"table-derived, binned","Wang, Lu & Li (2005) Fire Safety Science 8:353-362, Table 4; counts derived from cumulative per-year table; bins 4-5 and 6-9 merged in source"
China,1998-2002 (T=5),5,1266,16,16,1,ALL fires (not only buildings),"table-derived, binned","Wang, Lu & Li (2005) Fire Safety Science 8:353-362, Table 4; counts derived from cumulative per-year table; bins 4-5 and 6-9 merged in source"
China,1998-2002 (T=5),5,1266,17,17,2,ALL fires (not only buildings),"table-derived, binned","Wang, Lu & Li (2005) Fire Safety Science 8:353-362, Table 4; counts derived from cumulative per-year table; bins 4-5 and 6-9 merged in source"
China,1998-2002 (T=5),5,1266,19,19,2,ALL fires (not only buildings),"table-derived, binned","Wang, Lu & Li (2005) Fire Safety Science 8:353-362, Table 4; counts derived from cumulative per-year table; bins 4-5 and 6-9 merged in source"
China,1998-2002 (T=5),5,1266,20,23,1,ALL fires (not only buildings),"table-derived, binned","Wang, Lu & Li (2005) Fire Safety Science 8:353-362, Table 4; counts derived from cumulative per-year table; bins 4-5 and 6-9 merged in source"
China,1998-2002 (T=5),5,1266,24,24,3,ALL fires (not only buildings),"table-derived, binned","Wang, Lu & Li (2005) Fire Safety Science 8:353-362, Table 4; counts derived from cumulative per-year table; bins 4-5 and 6-9 merged in source"
China,1998-2002 (T=5),5,1266,25,37,2,ALL fires (not only buildings),"table-derived, binned","Wang, Lu & Li (2005) Fire Safety Science 8:353-362, Table 4; counts derived from cumulative per-year table; bins 4-5 and 6-9 merged in source"
China,1998-2002 (T=5),5,1266,38,38,1,ALL fires (not only buildings),"table-derived, binned","Wang, Lu & Li (2005) Fire Safety Science 8:353-362, Table 4; counts derived from cumulative per-year table; bins 4-5 and 6-9 merged in source"
China,1998-2002 (T=5),5,1266,74,74,1,ALL fires (not only buildings),"table-derived, binned","Wang, Lu & Li (2005) Fire Safety Science 8:353-362, Table 4; counts derived from cumulative per-year table; bins 4-5 and 6-9 merged in source"
China,1998-2002 (T=5),5,1266,309,309,1,ALL fires (not only buildings),"table-derived, binned","Wang, Lu & Li (2005) Fire Safety Science 8:353-362, Table 4; counts derived from cumulative per-year table; bins 4-5 and 6-9 merged in source"
