year,scdf_total_deaths,scdf_total_injuries,register_deaths,register_incidents,gap_scdf_minus_register,scdf_source_url,notes
2001,11,,,,,https://data.gov.sg/datasets/d_2c81b575edc555f6c8f0cb7e09c8df02/view,Totals-only period; per-incident register not compiled pre-2005; deaths figure from SCDF 2005 release Table 9
2002,0,,,,,https://data.gov.sg/datasets/d_2c81b575edc555f6c8f0cb7e09c8df02/view,Totals-only; zero fire deaths (SCDF 2005 release Table 9)
2003,1,73,,,,https://data.gov.sg/datasets/d_2c81b575edc555f6c8f0cb7e09c8df02/view,Totals-only; injuries from SCDF 2007 release Table 6
2004,7,131,,,,https://data.gov.sg/datasets/d_2c81b575edc555f6c8f0cb7e09c8df02/view,Totals-only; injuries from SCDF 2008 release Table 3
2005,1,111,1,1,0,https://www.scdf.gov.sg/docs/default-source/media-room-(publications)/annual-statistics/fire_stats_jan_dec2005.pdf ; https://data.gov.sg/datasets/d_2c81b575edc555f6c8f0cb7e09c8df02/view,SCDF release itemizes the single fatal incident; fully reconciled
2006,3,91,3,3,0,https://www.scdf.gov.sg/docs/default-source/media-room-(publications)/annual-statistics/fire_stats_2006.pdf ; https://data.gov.sg/datasets/d_2c81b575edc555f6c8f0cb7e09c8df02/view,SCDF release itemizes all three fatal incidents; fully reconciled
2007,4,96,4,2,0,https://www.scdf.gov.sg/docs/default-source/media-room-(publications)/annual-statistics/fire_stats_2007.pdf ; https://data.gov.sg/datasets/d_2c81b575edc555f6c8f0cb7e09c8df02/view,SCDF release itemizes both fatal incidents; fully reconciled; includes Pulau Ayer Chawan process-plant fire (2 deaths)
2008,0,122,0,0,0,https://www.scdf.gov.sg/docs/default-source/media-room-(publications)/annual-statistics/fire_stats_2008.pdf ; https://data.gov.sg/datasets/d_2c81b575edc555f6c8f0cb7e09c8df02/view,SCDF: zero fire fatalities; register empty; reconciled
2009,0,127,0,0,0,https://www.scdf.gov.sg/docs/default-source/media-room-(publications)/annual-statistics/fire_stats_2009.pdf ; https://data.gov.sg/datasets/d_2c81b575edc555f6c8f0cb7e09c8df02/view,SCDF: zero fire fatalities; register empty; reconciled
2010,0,143,0,0,0,https://www.scdf.gov.sg/docs/default-source/media-room-(publications)/annual-statistics/fire_stats_2010.pdf ; https://data.gov.sg/datasets/d_2c81b575edc555f6c8f0cb7e09c8df02/view,SCDF: zero fire fatalities (third consecutive zero year); register empty; reconciled
2011,4,165,4,3,0,https://www.scdf.gov.sg/docs/default-source/media-room-(publications)/annual-statistics/fire_stats_2011.pdf ; https://data.gov.sg/datasets/d_2c81b575edc555f6c8f0cb7e09c8df02/view,SCDF release itemizes all three fatal incidents (one 2-death industrial); fully reconciled
2012,1,199,1,1,0,https://www.scdf.gov.sg/docs/default-source/media-room-(publications)/annual-statistics/fire_stats_2012_.pdf ; https://data.gov.sg/datasets/d_2c81b575edc555f6c8f0cb7e09c8df02/view,Fully reconciled; SCDF release itemizes the single incident
2013,4,162,4,3,0,https://www.scdf.gov.sg/docs/default-source/media-room-(publications)/annual-statistics/scdf-fire-stats-2013.pdf ; https://data.gov.sg/datasets/d_2c81b575edc555f6c8f0cb7e09c8df02/view,Fully reconciled; 2-death split at the landed-house fire inferred by elimination from SCDF narrative
2014,8,111,8,4,0,https://www.scdf.gov.sg/docs/default-source/media-room-(publications)/annual-statistics/topic-a---fire-stats-for-jan-to-dec-2014-(100215).pdf ; https://data.gov.sg/datasets/d_2c81b575edc555f6c8f0cb7e09c8df02/view,Fully reconciled; SCDF release itemizes all four incidents incl. the 4-death Geylang shophouse fire
